,index,sample,batch,condition,variable,cell,direction,ilum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
148,Voltage (V)_e_Reverse_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-8.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Voltage (V),e,Reverse,Light,1.3,1.28,1.26,1.24,1.22,1.2,1.18,1.16,1.14,1.12,1.1,1.08,1.06,1.04,1.02,1.0,0.98,0.96,0.94,0.92,0.9,0.88,0.86,0.84,0.82,0.8,0.78,0.76,0.74,0.72,0.7,0.68,0.66,0.64,0.62,0.6,0.58,0.56,0.54,0.52,0.5,0.48,0.46,0.44,0.42,0.4,0.38,0.36,0.34,0.32,0.3,0.28,0.26,0.24,0.22,0.2,0.18,0.16,0.14,0.12,0.1,0.08,0.06,0.04,0.02,0.0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12,-0.14,-0.16,-0.18,-0.2
149,Current Density(mA/cm2)_e_Reverse_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-8.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Current Density(mA/cm2),e,Reverse,Light,30.00287,30.00293,30.00287,30.00287,30.0029,30.00291,30.00291,29.69721,22.91895,16.45098,10.36126,4.707124,-0.5116002,-5.182561,-9.276356,-12.68535,-15.35919,-17.30984,-18.63161,-19.4713,-19.97676,-20.27488,-20.45001,-20.56726,-20.63953,-20.69269,-20.73447,-20.77777,-20.80592,-20.82837,-20.85558,-20.87752,-20.90071,-20.90861,-20.92547,-20.93998,-20.94872,-20.95383,-20.96165,-20.97351,-20.97257,-20.96932,-20.97675,-20.97805,-20.98543,-20.99214,-20.99522,-21.00296,-21.00752,-21.01379,-21.01552,-21.01342,-21.01837,-21.02207,-21.02417,-21.03209,-21.01973,-21.02797,-21.02614,-21.02246,-21.03514,-21.03497,-21.04095,-21.03546,-21.04379,-21.04576,-21.04633,-21.04369,-21.04041,-21.04763,-21.04655,-21.04934,-21.04845,-21.05302,-21.05257,-21.05774
150,Voltage (V)_e_Forward_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-8.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Voltage (V),e,Forward,Light,1.3,1.28,1.26,1.24,1.22,1.2,1.18,1.16,1.14,1.12,1.1,1.08,1.06,1.04,1.02,1.0,0.98,0.96,0.94,0.92,0.9,0.88,0.86,0.84,0.82,0.8,0.78,0.76,0.74,0.72,0.7,0.68,0.66,0.64,0.62,0.6,0.58,0.56,0.54,0.52,0.5,0.48,0.46,0.44,0.42,0.4,0.38,0.36,0.34,0.32,0.3,0.28,0.26,0.24,0.22,0.2,0.18,0.16,0.14,0.12,0.1,0.08,0.06,0.04,0.02,0.0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12,-0.14,-0.16,-0.18,-0.2
151,Current Density(mA/cm2)_e_Forward_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-8.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Current Density(mA/cm2),e,Forward,Light,30.00291,30.00294,30.00293,30.00292,30.00289,30.00289,30.00291,29.42809,22.74549,16.37192,10.37144,4.782476,-0.3014604,-4.84591,-8.739425,-12.07423,-14.68831,-16.65063,-18.02512,-18.95029,-19.5379,-19.92246,-20.16807,-20.34325,-20.47627,-20.58498,-20.65515,-20.70682,-20.76157,-20.80327,-20.82926,-20.86566,-20.87709,-20.89464,-20.91447,-20.92783,-20.94227,-20.93979,-20.95587,-20.95385,-20.96408,-20.96142,-20.97424,-20.98087,-20.99618,-20.98618,-21.00138,-20.99961,-21.00109,-21.00027,-20.9976,-21.00732,-21.0098,-21.00614,-21.01322,-21.02018,-21.0172,-21.02593,-21.03184,-21.02805,-21.03342,-21.03988,-21.03677,-21.02961,-21.03879,-21.04267,-21.03541,-21.04261,-21.04161,-21.04066,-21.04992,-21.05006,-21.05713,-21.05901,-21.06042,-21.05917
152,Voltage (V)_a_Reverse_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-9.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Voltage (V),a,Reverse,Light,1.3,1.28,1.26,1.24,1.22,1.2,1.18,1.16,1.14,1.12,1.1,1.08,1.06,1.04,1.02,1.0,0.98,0.96,0.94,0.92,0.9,0.88,0.86,0.84,0.82,0.8,0.78,0.76,0.74,0.72,0.7,0.68,0.66,0.64,0.62,0.6,0.58,0.56,0.54,0.52,0.5,0.48,0.46,0.44,0.42,0.4,0.38,0.36,0.34,0.32,0.3,0.28,0.26,0.24,0.22,0.2,0.18,0.16,0.14,0.12,0.1,0.08,0.06,0.04,0.02,0.0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12,-0.14,-0.16,-0.18,-0.2
153,Current Density(mA/cm2)_a_Reverse_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-9.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Current Density(mA/cm2),a,Reverse,Light,30.00289,30.00294,30.00295,30.00295,30.00289,30.0029,30.00293,28.21794,22.60633,17.2766,12.3112,7.708994,3.546931,-0.1939089,-3.464893,-6.279206,-8.615225,-10.53754,-12.09269,-13.32084,-14.31645,-15.12414,-15.77769,-16.29685,-16.74882,-17.12213,-17.41336,-17.67971,-17.88889,-18.07444,-18.24684,-18.38766,-18.50404,-18.612,-18.72591,-18.80921,-18.90652,-18.99501,-19.06999,-19.14597,-19.23837,-19.32127,-19.34877,-19.41239,-19.47106,-19.52738,-19.57517,-19.63839,-19.68466,-19.7314,-19.77414,-19.82106,-19.85611,-19.89142,-19.94374,-19.98183,-19.99901,-20.03461,-20.06569,-20.08749,-20.1149,-20.13847,-20.17021,-20.18444,-20.19771,-20.21193,-20.23011,-20.24586,-20.26365,-20.27481,-20.27965,-20.31135,-20.32694,-20.34326,-20.3603,-20.38092
154,Voltage (V)_a_Forward_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-9.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Voltage (V),a,Forward,Light,1.3,1.28,1.26,1.24,1.22,1.2,1.18,1.16,1.14,1.12,1.1,1.08,1.06,1.04,1.02,1.0,0.98,0.96,0.94,0.92,0.9,0.88,0.86,0.84,0.82,0.8,0.78,0.76,0.74,0.72,0.7,0.68,0.66,0.64,0.62,0.6,0.58,0.56,0.54,0.52,0.5,0.48,0.46,0.44,0.42,0.4,0.38,0.36,0.34,0.32,0.3,0.28,0.26,0.24,0.22,0.2,0.18,0.16,0.14,0.12,0.1,0.08,0.06,0.04,0.02,0.0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12,-0.14,-0.16,-0.18,-0.2
155,Current Density(mA/cm2)_a_Forward_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-9.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Current Density(mA/cm2),a,Forward,Light,30.00296,30.00297,30.00294,30.00292,30.00294,30.00289,30.00296,28.84686,23.34991,18.1672,13.33473,8.877819,4.910859,1.343001,-1.784441,-4.50635,-6.696981,-8.585788,-10.19248,-11.5348,-12.63977,-13.58748,-14.40839,-15.08189,-15.66439,-16.19661,-16.63178,-17.00574,-17.32531,-17.61981,-17.86363,-18.06476,-18.25399,-18.41064,-18.55423,-18.67718,-18.77435,-18.88544,-18.99281,-19.08969,-19.16306,-19.23694,-19.29844,-19.36823,-19.42969,-19.49619,-19.54424,-19.59469,-19.65138,-19.7077,-19.75502,-19.79856,-19.84242,-19.88411,-19.92502,-19.96034,-19.98943,-20.02586,-20.04894,-20.08941,-20.11758,-20.14115,-20.17134,-20.17517,-20.19956,-20.21611,-20.23315,-20.24015,-20.27593,-20.28131,-20.28883,-20.29647,-20.31897,-20.34803,-20.35888,-20.3888
156,Voltage (V)_b_Reverse_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-9.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Voltage (V),b,Reverse,Light,1.3,1.28,1.26,1.24,1.22,1.2,1.18,1.16,1.14,1.12,1.1,1.08,1.06,1.04,1.02,1.0,0.98,0.96,0.94,0.92,0.9,0.88,0.86,0.84,0.82,0.8,0.78,0.76,0.74,0.72,0.7,0.68,0.66,0.64,0.62,0.6,0.58,0.56,0.54,0.52,0.5,0.48,0.46,0.44,0.42,0.4,0.38,0.36,0.34,0.32,0.3,0.28,0.26,0.24,0.22,0.2,0.18,0.16,0.14,0.12,0.1,0.08,0.06,0.04,0.02,0.0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12,-0.14,-0.16,-0.18,-0.2
157,Current Density(mA/cm2)_b_Reverse_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-9.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Current Density(mA/cm2),b,Reverse,Light,30.00303,30.00303,30.00298,30.00302,30.00293,30.00294,30.00302,30.00295,23.80429,16.63689,9.953269,3.853522,-1.700604,-6.549738,-10.61157,-13.84888,-16.25134,-17.88978,-18.95952,-19.60184,-19.96731,-20.19883,-20.33995,-20.43597,-20.49766,-20.54202,-20.59487,-20.64468,-20.66939,-20.68807,-20.72819,-20.75494,-20.77498,-20.78971,-20.81883,-20.82294,-20.84232,-20.8336,-20.84973,-20.8646,-20.8639,-20.8744,-20.87005,-20.88662,-20.88883,-20.88571,-20.89141,-20.89807,-20.91184,-20.91765,-20.92244,-20.93591,-20.93869,-20.93958,-20.94484,-20.95442,-20.96131,-20.95273,-20.95523,-20.95523,-20.9682,-20.97332,-20.97327,-20.97589,-20.98994,-20.99782,-20.99239,-20.99871,-21.00326,-21.01383,-21.00785,-21.02751,-21.02488,-21.03878,-21.04213,-21.03967
158,Voltage (V)_b_Forward_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-9.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Voltage (V),b,Forward,Light,1.3,1.28,1.26,1.24,1.22,1.2,1.18,1.16,1.14,1.12,1.1,1.08,1.06,1.04,1.02,1.0,0.98,0.96,0.94,0.92,0.9,0.88,0.86,0.84,0.82,0.8,0.78,0.76,0.74,0.72,0.7,0.68,0.66,0.64,0.62,0.6,0.58,0.56,0.54,0.52,0.5,0.48,0.46,0.44,0.42,0.4,0.38,0.36,0.34,0.32,0.3,0.28,0.26,0.24,0.22,0.2,0.18,0.16,0.14,0.12,0.1,0.08,0.06,0.04,0.02,0.0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12,-0.14,-0.16,-0.18,-0.2
159,Current Density(mA/cm2)_b_Forward_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-9.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Current Density(mA/cm2),b,Forward,Light,30.00294,30.00301,30.00295,30.00294,30.00294,30.00297,30.00296,30.00296,23.864,16.80598,10.23643,4.245119,-1.187514,-5.973926,-9.869675,-13.0837,-15.51156,-17.22077,-18.37114,-19.09887,-19.58012,-19.89413,-20.09314,-20.2389,-20.34903,-20.43592,-20.50092,-20.55314,-20.59211,-20.62944,-20.67101,-20.68508,-20.71376,-20.73545,-20.72858,-20.75379,-20.78341,-20.79015,-20.81104,-20.81143,-20.82056,-20.83901,-20.84584,-20.8597,-20.85579,-20.86332,-20.87416,-20.88626,-20.88175,-20.89789,-20.90897,-20.91062,-20.91695,-20.93154,-20.93664,-20.93744,-20.94808,-20.95388,-20.95599,-20.97071,-20.97274,-20.97106,-20.99186,-20.98622,-20.99441,-20.99287,-21.00275,-21.00911,-21.01507,-21.02734,-21.01803,-21.02589,-21.02891,-21.03726,-21.03721,-21.04346
160,Voltage (V)_c_Reverse_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-9.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Voltage (V),c,Reverse,Light,1.3,1.28,1.26,1.24,1.22,1.2,1.18,1.16,1.14,1.12,1.1,1.08,1.06,1.04,1.02,1.0,0.98,0.96,0.94,0.92,0.9,0.88,0.86,0.84,0.82,0.8,0.78,0.76,0.74,0.72,0.7,0.68,0.66,0.64,0.62,0.6,0.58,0.56,0.54,0.52,0.5,0.48,0.46,0.44,0.42,0.4,0.38,0.36,0.34,0.32,0.3,0.28,0.26,0.24,0.22,0.2,0.18,0.16,0.14,0.12,0.1,0.08,0.06,0.04,0.02,0.0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12,-0.14,-0.16,-0.18,-0.2
161,Current Density(mA/cm2)_c_Reverse_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-9.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Current Density(mA/cm2),c,Reverse,Light,30.00303,30.00301,30.00299,30.00299,30.00299,30.00299,30.00301,27.83391,21.26359,15.00858,9.143581,3.724343,-1.278247,-5.701385,-9.513725,-12.65524,-15.08299,-16.80656,-17.97033,-18.69342,-19.13106,-19.39028,-19.56446,-19.66272,-19.71692,-19.77647,-19.8113,-19.83508,-19.8794,-19.90691,-19.92655,-19.95646,-19.97836,-19.98459,-19.99607,-20.01929,-20.0176,-20.03589,-20.02923,-20.05272,-20.05625,-20.06749,-20.07277,-20.07177,-20.06735,-20.07808,-20.08964,-20.09149,-20.10241,-20.10881,-20.10766,-20.11584,-20.11758,-20.11616,-20.10492,-20.12793,-20.1155,-20.12968,-20.13668,-20.12416,-20.13158,-20.11219,-20.11393,-20.12964,-20.13284,-20.14566,-20.14218,-20.15481,-20.14717,-20.15272,-20.16071,-20.16004,-20.15624,-20.16716,-20.16851,-20.16899
162,Voltage (V)_c_Forward_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-9.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Voltage (V),c,Forward,Light,1.3,1.28,1.26,1.24,1.22,1.2,1.18,1.16,1.14,1.12,1.1,1.08,1.06,1.04,1.02,1.0,0.98,0.96,0.94,0.92,0.9,0.88,0.86,0.84,0.82,0.8,0.78,0.76,0.74,0.72,0.7,0.68,0.66,0.64,0.62,0.6,0.58,0.56,0.54,0.52,0.5,0.48,0.46,0.44,0.42,0.4,0.38,0.36,0.34,0.32,0.3,0.28,0.26,0.24,0.22,0.2,0.18,0.16,0.14,0.12,0.1,0.08,0.06,0.04,0.02,0.0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12,-0.14,-0.16,-0.18,-0.2
163,Current Density(mA/cm2)_c_Forward_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-9.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Current Density(mA/cm2),c,Forward,Light,30.00299,30.00294,30.00296,30.00294,30.00294,30.00291,30.003,27.70498,21.22605,15.06044,9.272937,3.942196,-0.9401012,-5.310174,-8.960044,-12.0221,-14.4224,-16.18804,-17.38884,-18.20075,-18.69933,-19.04389,-19.28992,-19.43563,-19.56345,-19.65441,-19.73715,-19.78839,-19.82567,-19.8701,-19.90029,-19.92689,-19.93864,-19.96563,-19.97975,-19.98979,-20.00212,-20.00709,-20.00249,-20.01887,-20.04439,-20.05109,-20.04937,-20.06101,-20.0723,-20.08218,-20.08616,-20.08267,-20.09439,-20.09281,-20.10177,-20.09348,-20.10456,-20.10891,-20.12371,-20.10524,-20.11422,-20.13461,-20.12061,-20.12776,-20.11786,-20.13003,-20.1315,-20.13876,-20.14456,-20.14284,-20.14611,-20.14547,-20.14501,-20.13896,-20.15399,-20.15336,-20.13481,-20.14054,-20.16114,-20.17195
164,Voltage (V)_d_Reverse_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-9.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Voltage (V),d,Reverse,Light,1.3,1.28,1.26,1.24,1.22,1.2,1.18,1.16,1.14,1.12,1.1,1.08,1.06,1.04,1.02,1.0,0.98,0.96,0.94,0.92,0.9,0.88,0.86,0.84,0.82,0.8,0.78,0.76,0.74,0.72,0.7,0.68,0.66,0.64,0.62,0.6,0.58,0.56,0.54,0.52,0.5,0.48,0.46,0.44,0.42,0.4,0.38,0.36,0.34,0.32,0.3,0.28,0.26,0.24,0.22,0.2,0.18,0.16,0.14,0.12,0.1,0.08,0.06,0.04,0.02,0.0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12,-0.14,-0.16,-0.18,-0.2
165,Current Density(mA/cm2)_d_Reverse_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-9.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Current Density(mA/cm2),d,Reverse,Light,30.00294,30.00296,30.00299,30.00301,30.00297,30.00294,30.00294,30.00292,23.479,16.90696,10.76744,5.119582,-0.02447508,-4.561459,-8.442475,-11.59633,-14.00787,-15.72122,-16.8667,-17.61498,-18.08859,-18.39599,-18.60868,-18.77894,-18.90046,-19.03762,-19.14946,-19.23899,-19.32592,-19.40855,-19.48931,-19.57638,-19.63687,-19.71269,-19.7718,-19.82238,-19.88997,-19.94841,-19.98721,-20.03762,-20.08424,-20.11381,-20.15364,-20.20489,-20.24269,-20.28226,-20.30613,-20.34292,-20.37442,-20.40908,-20.43859,-20.46398,-20.50129,-20.52936,-20.55807,-20.57221,-20.59895,-20.6175,-20.65287,-20.67414,-20.68363,-20.707,-20.72599,-20.74863,-20.75706,-20.77711,-20.78355,-20.80136,-20.81242,-20.80955,-20.83956,-20.85756,-20.87611,-20.88804,-20.90354,-20.93476
166,Voltage (V)_d_Forward_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-9.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Voltage (V),d,Forward,Light,1.3,1.28,1.26,1.24,1.22,1.2,1.18,1.16,1.14,1.12,1.1,1.08,1.06,1.04,1.02,1.0,0.98,0.96,0.94,0.92,0.9,0.88,0.86,0.84,0.82,0.8,0.78,0.76,0.74,0.72,0.7,0.68,0.66,0.64,0.62,0.6,0.58,0.56,0.54,0.52,0.5,0.48,0.46,0.44,0.42,0.4,0.38,0.36,0.34,0.32,0.3,0.28,0.26,0.24,0.22,0.2,0.18,0.16,0.14,0.12,0.1,0.08,0.06,0.04,0.02,0.0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12,-0.14,-0.16,-0.18,-0.2
167,Current Density(mA/cm2)_d_Forward_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-9.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Current Density(mA/cm2),d,Forward,Light,30.00294,30.00295,30.00296,30.00303,30.00295,30.00297,30.00292,30.00292,23.36092,16.90788,10.86562,5.288313,0.2961124,-4.120651,-7.79685,-10.88471,-13.27187,-15.02373,-16.22288,-17.05115,-17.58015,-17.97731,-18.28145,-18.50962,-18.70694,-18.85394,-19.00003,-19.11176,-19.22533,-19.31763,-19.38251,-19.47673,-19.56026,-19.62263,-19.68744,-19.75557,-19.81469,-19.86504,-19.91343,-19.96504,-20.01079,-20.07204,-20.10611,-20.16206,-20.21246,-20.23754,-20.27864,-20.31255,-20.34149,-20.38637,-20.4179,-20.43989,-20.47334,-20.5005,-20.52129,-20.54989,-20.56842,-20.60289,-20.63181,-20.65235,-20.66838,-20.67927,-20.71483,-20.72413,-20.74668,-20.76874,-20.77459,-20.79771,-20.80616,-20.82568,-20.84718,-20.85589,-20.87339,-20.88787,-20.90676,-20.92696
168,Voltage (V)_e_Reverse_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-9.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Voltage (V),e,Reverse,Light,1.3,1.28,1.26,1.24,1.22,1.2,1.18,1.16,1.14,1.12,1.1,1.08,1.06,1.04,1.02,1.0,0.98,0.96,0.94,0.92,0.9,0.88,0.86,0.84,0.82,0.8,0.78,0.76,0.74,0.72,0.7,0.68,0.66,0.64,0.62,0.6,0.58,0.56,0.54,0.52,0.5,0.48,0.46,0.44,0.42,0.4,0.38,0.36,0.34,0.32,0.3,0.28,0.26,0.24,0.22,0.2,0.18,0.16,0.14,0.12,0.1,0.08,0.06,0.04,0.02,0.0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12,-0.14,-0.16,-0.18,-0.2
169,Current Density(mA/cm2)_e_Reverse_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-9.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Current Density(mA/cm2),e,Reverse,Light,30.00301,30.00298,30.00297,30.00296,30.00297,30.00294,30.00296,27.78021,21.38839,15.30331,9.600744,4.330734,-0.4926788,-4.751753,-8.425381,-11.41519,-13.70047,-15.31884,-16.40957,-17.09457,-17.5124,-17.77708,-17.94019,-18.07532,-18.15359,-18.23883,-18.31017,-18.36341,-18.41916,-18.46716,-18.50008,-18.54064,-18.58586,-18.61465,-18.63235,-18.66567,-18.69567,-18.72001,-18.74007,-18.76207,-18.78135,-18.80537,-18.81923,-18.83289,-18.85387,-18.86593,-18.87987,-18.89174,-18.90346,-18.91514,-18.92771,-18.93627,-18.94116,-18.96271,-18.96457,-18.97961,-18.98981,-18.99057,-18.99948,-19.00819,-19.01803,-19.01467,-19.02931,-19.03383,-19.03669,-19.04539,-19.04355,-19.05226,-19.05303,-19.06571,-19.06388,-19.07193,-19.07696,-19.07602,-19.07948,-19.08691
170,Voltage (V)_e_Forward_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-9.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Voltage (V),e,Forward,Light,1.3,1.28,1.26,1.24,1.22,1.2,1.18,1.16,1.14,1.12,1.1,1.08,1.06,1.04,1.02,1.0,0.98,0.96,0.94,0.92,0.9,0.88,0.86,0.84,0.82,0.8,0.78,0.76,0.74,0.72,0.7,0.68,0.66,0.64,0.62,0.6,0.58,0.56,0.54,0.52,0.5,0.48,0.46,0.44,0.42,0.4,0.38,0.36,0.34,0.32,0.3,0.28,0.26,0.24,0.22,0.2,0.18,0.16,0.14,0.12,0.1,0.08,0.06,0.04,0.02,0.0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12,-0.14,-0.16,-0.18,-0.2
171,Current Density(mA/cm2)_e_Forward_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-9.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Current Density(mA/cm2),e,Forward,Light,30.00296,30.00293,30.00299,30.00294,30.00293,30.00295,30.00296,27.61401,21.30248,15.29945,9.666094,4.443627,-0.2568434,-4.416515,-7.907931,-10.83754,-13.10526,-14.77438,-15.91742,-16.64779,-17.13318,-17.47185,-17.70999,-17.89253,-18.02496,-18.13784,-18.21851,-18.30358,-18.36074,-18.41889,-18.46422,-18.51239,-18.54349,-18.57991,-18.61564,-18.6459,-18.67338,-18.69861,-18.72138,-18.74166,-18.76825,-18.79188,-18.81695,-18.82539,-18.84352,-18.85243,-18.87039,-18.89059,-18.90823,-18.90871,-18.92427,-18.94794,-18.95446,-18.96261,-18.96874,-18.97861,-18.98067,-18.98747,-18.99498,-19.01078,-19.02094,-19.01552,-19.02584,-19.02936,-19.03643,-19.04253,-19.04093,-19.04765,-19.05261,-19.05757,-19.06144,-19.06403,-19.05537,-19.07242,-19.06814,-19.08299
172,Voltage (V)_f_Reverse_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-9.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Voltage (V),f,Reverse,Light,1.3,1.28,1.26,1.24,1.22,1.2,1.18,1.16,1.14,1.12,1.1,1.08,1.06,1.04,1.02,1.0,0.98,0.96,0.94,0.92,0.9,0.88,0.86,0.84,0.82,0.8,0.78,0.76,0.74,0.72,0.7,0.68,0.66,0.64,0.62,0.6,0.58,0.56,0.54,0.52,0.5,0.48,0.46,0.44,0.42,0.4,0.38,0.36,0.34,0.32,0.3,0.28,0.26,0.24,0.22,0.2,0.18,0.16,0.14,0.12,0.1,0.08,0.06,0.04,0.02,0.0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12,-0.14,-0.16,-0.18,-0.2
173,Current Density(mA/cm2)_f_Reverse_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-9.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Current Density(mA/cm2),f,Reverse,Light,30.00298,30.00301,30.00298,30.00299,30.00299,30.00299,30.00299,29.09133,22.44618,16.10098,10.13908,4.612621,-0.467025,-4.989201,-8.9296,-12.18189,-14.70065,-16.52299,-17.74414,-18.50909,-18.98317,-19.2793,-19.46381,-19.57284,-19.66017,-19.73217,-19.79715,-19.83249,-19.86921,-19.90796,-19.93616,-19.95869,-19.98146,-20.00801,-20.01373,-20.02624,-20.03438,-20.04264,-20.05566,-20.05731,-20.06789,-20.08505,-20.08574,-20.08527,-20.10161,-20.1171,-20.11494,-20.11771,-20.11141,-20.13327,-20.14028,-20.1376,-20.14742,-20.15306,-20.16289,-20.15946,-20.15701,-20.16029,-20.16232,-20.17374,-20.1716,-20.17892,-20.17253,-20.17884,-20.18004,-20.18538,-20.18851,-20.17769,-20.18929,-20.19601,-20.205,-20.21267,-20.21072,-20.20045,-20.21019,-20.22036
174,Voltage (V)_f_Forward_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-9.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Voltage (V),f,Forward,Light,1.3,1.28,1.26,1.24,1.22,1.2,1.18,1.16,1.14,1.12,1.1,1.08,1.06,1.04,1.02,1.0,0.98,0.96,0.94,0.92,0.9,0.88,0.86,0.84,0.82,0.8,0.78,0.76,0.74,0.72,0.7,0.68,0.66,0.64,0.62,0.6,0.58,0.56,0.54,0.52,0.5,0.48,0.46,0.44,0.42,0.4,0.38,0.36,0.34,0.32,0.3,0.28,0.26,0.24,0.22,0.2,0.18,0.16,0.14,0.12,0.1,0.08,0.06,0.04,0.02,0.0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12,-0.14,-0.16,-0.18,-0.2
175,Current Density(mA/cm2)_f_Forward_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-9.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Current Density(mA/cm2),f,Forward,Light,30.00294,30.00292,30.00297,30.00297,30.00294,30.00293,30.00291,28.7254,22.20154,15.98553,10.13577,4.70048,-0.2208815,-4.604836,-8.306363,-11.44597,-13.91625,-15.76097,-17.05451,-17.90916,-18.48174,-18.85304,-19.11877,-19.30314,-19.45266,-19.57341,-19.65916,-19.74397,-19.80549,-19.84605,-19.87506,-19.91304,-19.93776,-19.95776,-19.97737,-19.9987,-20.01905,-20.04241,-20.04277,-20.0604,-20.06952,-20.08057,-20.08206,-20.08115,-20.09637,-20.11258,-20.11629,-20.11635,-20.12025,-20.12667,-20.12944,-20.13096,-20.14219,-20.14347,-20.15052,-20.14602,-20.16222,-20.16741,-20.16043,-20.16639,-20.17037,-20.1659,-20.16583,-20.17443,-20.18601,-20.17996,-20.18461,-20.18178,-20.18968,-20.18414,-20.19968,-20.19322,-20.18986,-20.20097,-20.20728,-20.20344
